33 N1 N4 N7 N10 N13 N16 N19 N22 N25 N28 N31 N34 N37 N40 N43 N46 N49 N53 N56 N60 N63 N66 N69 N72 N76 N79 N82 N85 N88 N91 N94 N99 N104
25 N2753 N2754 N2755 N2756 N2762 N2767 N2768 N2779 N2780 N2781 N2782 N2783 N2784 N2785 N2786 N2787 N2811 N2886 N2887 N2888 N2889 N2890 N2891 N2892 N2899
287
INV N104 n232
AND N66 n232 n238
AND n232 n459 n460
OR N99 n232 n446
OR N88 n232 n435
NOR N63 n232 n432
OR N91 n232 n427
NOR N66 n232 n423
AND N69 n232 n306
AND N63 n232 n244
NAND n232 N99 n239
XOR N40 N10 n237
XOR n481 n238 n236
XOR n237 n411 n235
XOR n235 n236 n234
XOR n256 n406 n233
XOR n233 n234 n367
OR n414 n239 n453
XOR N25 N10 n243
XOR n483 n244 n242
XOR n256 n243 n241
XOR n241 n242 n240
XOR n434 n240 n260
AND n419 n269 n247
AND n274 n247 n246
AND n284 n246 n245
NAND n286 n245 n288
INV n419 n251
NOR n274 n251 n250
AND n285 n250 n249
AND n278 n263 n248
NAND n248 n249 n302
NOR N104 N72 n252
NAND N53 n252 n379
NAND N49 n252 n412
XOR n353 n354 n253
NOR N94 n253 n307
XOR n253 n400 n399
XOR N85 n307 n254
NOR n262 n254 n268
INV n254 n264
AND n254 n368 n284
AND n254 n325 n326
AND n254 n418 n344
XOR N25 n371 n255
XOR n255 n258 n397
NOR N94 n255 n312
XOR n255 n381 n376
XOR N28 n373 n256
XOR n256 n257 n375
XOR n256 n424 n425
XOR N19 n372 n257
XOR n406 n257 n434
NAND N60 n306 n258
OR N94 n258 n314
XOR n374 n375 n259
XOR n259 n420 n273
XOR n389 n259 n388
NOR N94 n260 n315
NOR n449 n260 n450
XOR N76 n383 n261
NOR n308 n261 n263
NOR n309 n261 n265
INV n261 n267
AND n261 n418 n280
AND n261 n384 n282
AND n413 n261 n283
AND n261 n335 n334
AND n261 n344 n342
XOR N82 n382 n262
AND n264 n262 n266
AND n262 n269 n317
AND n262 n271 n343
AND n262 n413 n325
INV n262 n368
AND n275 n263 n463
NAND n263 n466 n469
AND n263 n454 n456
OR n264 n276 n455
AND n264 n317 n285
AND n266 n265 n327
AND n265 n269 n322
AND n284 n265 n321
AND n266 n282 n336
AND n283 n266 n323
AND n464 n266 n461
OR n280 n267 n467
AND n267 n326 n324
AND n274 n268 n281
AND n268 n277 n332
AND n464 n268 n471
OR n268 n461 n462
XOR n310 n311 n269
INV n269 n271
NOR n274 n269 n276
AND n282 n269 n329
AND n413 n269 n335
XOR n315 n316 n270
NOR n270 n385 n275
AND n270 n465 n278
NAND n385 n270 n466
AND n274 n271 n320
AND n283 n271 n338
NOR N94 n273 n272
XOR n272 N79 n274
AND n274 n419 n279
OR n277 n271 n452
INV n274 n277
AND n320 n275 n337
AND n281 n275 n330
AND n275 n282 n318
AND n275 n285 n346
AND n275 n452 n458
NAND n275 n467 n468
AND n278 n276 n290
NAND n276 n474 n475
AND n282 n277 n345
AND n278 n320 n328
AND n278 n280 n286
AND n278 n281 n291
AND n278 n334 n333
AND n278 n343 n340
AND n285 n279 n339
AND n279 n342 n341
AND n284 n283 n331
AND n284 n320 n319
NAND n286 n339 n301
NAND n318 n319 n287
AND n304 n287 n351
XOR n480 n287 N2785
AND n303 n288 n350
XOR n489 n288 N2762
NAND n328 n321 n289
AND n289 n295 n363
XOR n485 n289 N2780
NAND n290 n323 n293
NAND n290 n324 n294
NAND n331 n290 n297
NAND n322 n291 n292
NAND n291 n338 n300
AND n292 n300 n362
XOR n484 n292 N2781
AND n297 n293 n364
XOR n492 n293 N2754
AND n294 n298 n365
XOR n483 n294 N2782
NAND n327 n328 n295
XOR n486 n295 N2779
NAND n329 n330 n296
AND n296 n299 n352
XOR n479 n296 N2786
XOR n491 n297 N2755
NAND n332 n333 n298
XOR n490 n298 N2756
NAND n336 n337 n299
XOR n481 n299 N2784
XOR n493 n300 N2753
AND n302 n301 n349
XOR n487 n301 N2768
XOR n482 n302 N2783
NAND n340 n341 n303
XOR n488 n303 N2767
NAND n345 n346 n304
XOR n478 n304 N2787
AND n347 n348 n305
AND n305 n475 n476
NAND n369 n305 n370
OR N104 n305 n429
INV n418 n308
INV n413 n309
OR N94 n441 n313
XOR n312 n313 n311
AND n314 n439 n310
AND N49 n407 n316
AND n349 n350 n348
AND n351 n352 n347
NAND N56 N69 n359
OR N104 n359 n356
XOR N43 N28 n355
XOR N7 N34 n358
XOR N22 N16 n357
XOR n355 n356 n354
XOR n357 n358 n353
AND n362 n363 n361
AND n364 n365 n360
AND n360 n361 n369
XOR n376 n377 n366
NOR N94 n366 n382
NOR n449 n366 n444
NOR N94 n367 n383
XOR n367 n392 n391
AND n464 n368 n454
OR N104 n369 n437
AND n369 n460 n477
AND n390 n370 n387
NAND n393 n370 n392
NAND n398 n370 n395
NAND n401 n370 n400
AND n443 n370 n445
AND n448 n370 n451
AND n386 n446 N2899
AND n391 n446 N2887
AND n394 n446 N2890
AND n399 n446 N2889
XOR N46 N40 n371
XOR N13 N16 n372
XOR N46 N43 n373
XOR N31 n411 n374
XOR N43 N4 n380
XOR N13 n380 n378
XOR N31 N22 n381
XOR n378 n379 n377
AND n418 n419 n384
INV n465 n385
INV n420 n389
AND N94 N79 n390
XOR n387 n388 n386
AND N94 N76 n393
NOR n440 n439 n398
XOR n441 n397 n396
XOR n395 n396 n394
AND N85 N94 n401
AND N104 N94 n416
AND N72 N69 n414
NOR n414 N88 n402
NAND n416 n402 n403
NAND n403 n453 n404
INV N94 n440
NAND N69 n440 n408
NAND N60 n408 n418
AND n404 n418 n413
XOR N4 N7 n405
XOR N1 n405 n406
XOR N34 N37 n411
OR N94 N72 n407
NAND N53 n407 n465
NAND N56 n408 n439
XOR N28 N10 n410
XOR N37 N19 n409
XOR n410 n409 n441
XOR N1 n412 n420
NOR n414 N91 n415
NAND n416 n415 n417
NAND n453 n417 n419
XOR N40 N37 n422
XOR N31 N34 n421
XOR n422 n421 n426
XOR N25 n423 n424
XOR n426 n425 n428
AND n428 n427 n430
XOR n430 n429 N2892
XOR N22 N10 n431
XOR n432 n431 n433
XOR n434 n433 n436
AND n436 n435 n438
XOR n438 n437 N2891
AND N82 N94 n442
AND n442 n446 n443
INV n446 n449
XOR n445 n444 N2888
AND N94 N49 n447
AND n447 n446 n448
XOR n451 n450 N2886
INV n453 n464
AND n456 n455 n457
NAND n458 n457 n459
NAND n463 n462 n473
NAND n469 n468 n470
NAND n471 n470 n472
NAND n473 n472 n474
NAND n477 n476 N2811
INV N40 n478
INV N37 n479
INV N34 n480
INV N31 n481
INV N25 n482
INV N22 n483
INV N19 n484
INV N16 n485
INV N13 n486
INV N46 n487
INV N43 n488
INV N28 n489
INV N10 n490
INV N7 n491
INV N4 n492
INV N1 n493
