178 N1 N4 N11 N14 N17 N20 N23 N24 N25 N26 N27 N31 N34 N37 N40 N43 N46 N49 N52 N53 N54 N61 N64 N67 N70 N73 N76 N79 N80 N81 N82 N83 N86 N87 N88 N91 N94 N97 N100 N103 N106 N109 N112 N113 N114 N115 N116 N117 N118 N119 N120 N121 N122 N123 N126 N127 N128 N129 N130 N131 N132 N135 N136 N137 N140 N141 N145 N146 N149 N152 N155 N158 N161 N164 N167 N170 N173 N176 N179 N182 N185 N188 N191 N194 N197 N200 N203 N206 N209 N210 N217 N218 N225 N226 N233 N234 N241 N242 N245 N248 N251 N254 N257 N264 N265 N272 N273 N280 N281 N288 N289 N292 N293 N299 N302 N307 N308 N315 N316 N323 N324 N331 N332 N335 N338 N341 N348 N351 N358 N361 N366 N369 N372 N373 N374 N386 N389 N400 N411 N422 N435 N446 N457 N468 N479 N490 N503 N514 N523 N534 N545 N549 N552 N556 N559 N562 N566 N571 N574 N577 N580 N583 N588 N591 N592 N595 N596 N597 N598 N599 N603 N607 N610 N613 N616 N619 N625 N631
123 N709 N816 N1066 N1137 N1138 N1139 N1140 N1141 N1142 N1143 N1144 N1145 N1147 N1152 N1153 N1154 N1155 N1972 N2054 N2060 N2061 N2139 N2142 N2309 N2387 N2527 N2584 N2590 N2623 N3357 N3358 N3359 N3360 N3604 N3613 N4272 N4275 N4278 N4279 N4737 N4738 N4739 N4740 N5240 N5388 N6641 N6643 N6646 N6648 N6716 N6877 N6924 N6925 N6926 N6927 N7015 N7363 N7365 N7432 N7449 N7465 N7466 N7467 N7469 N7470 N7471 N7472 N7473 N7474 N7476 N7503 N7504 N7506 N7511 N7515 N7516 N7517 N7518 N7519 N7520 N7521 N7522 N7600 N7601 N7602 N7603 N7604 N7605 N7606 N7607 N7626 N7698 N7699 N7700 N7701 N7702 N7703 N7704 N7705 N7706 N7707 N7735 N7736 N7737 N7738 N7739 N7740 N7741 N7742 N7754 N7755 N7756 N7757 N7758 N7759 N7760 N7761 N8075 N8076 N8123 N8124 N8127 N8128
1372
BUF N1 N3360
BUF N1 N3359
BUF N1 N3358
BUF N1 N3357
BUF N1 N2309
BUF N137 N2139
BUF N141 N2142
BUF N141 N709
BUF N293 N816
BUF N299 N3604
BUF N299 N2527
BUF N549 N2387
BUF N592 N1066
BUF N6926 N6924
BUF N6927 N6925
BUF N4278 N4275
BUF N6646 N6643
BUF N6648 N6641
BUF N1143 N1137
BUF N1143 N1142
BUF N2584 N1141
NAND n1096 n1095 n1086
XOR N479 n1086 n1087
NOR N479 n1086 n1104
XOR n1086 n1163 n1957
AND N479 n1086 n1340
INV n1087 n1088
AND n2231 n1087 n2232
NOR n1087 n1346 n1901
AND n1345 n1087 n1898
AND n1692 n1087 n1178
OR n1473 n1088 n1092
NAND n1473 n1088 n1098
XOR n1335 N514 n1089
INV n1089 n1090
AND n1089 n2133 n2138
AND n1089 n1471 n1791
AND n1089 n1164 n1509
NAND n1089 n1452 n1503
AND n1089 n1480 n1324
AND n1470 n1089 n1193
XOR n1471 n1090 n1161
OR n1173 n1090 n1191
XOR n1090 n2038 n2239
AND N534 n1457 n1091
OR n1159 n1091 n2136
XOR n1091 n1170 n1188
NAND n1091 n1364 n1363
AND n1092 n1098 n1094
AND n2287 n1092 n1097
OR n1092 n1304 n1404
OR n2000 n1092 n1406
NOR n1092 n2288 n2289
OR n1482 n1092 n2272
AND n1169 n1097 n1093
XOR n1093 n1099 n1174
NAND n2286 n1093 n2006
NOR n2286 n1093 n1998
XOR n1094 n1100 n1099
XOR n1094 n1591 n1589
NAND N332 N315 n1095
NAND N308 n1160 n1096
NAND n1104 n1678 n1103
NAND n1340 n1467 n1102
AND n1102 n1103 n1101
XOR n1963 n1101 n1100
INV n1336 n1143
AND n1167 n1168 n1153
NOR N374 n1338 n1124
AND n1474 n1348 n1138
AND n1336 n1472 n1137
NAND n1385 n1472 n1139
AND n1402 n1143 n1142
OR n1167 n1168 n1152
NAND n1306 n1153 n1151
OR n1475 n1453 n1115
NAND n1351 n1716 n1117
AND n2114 N566 n1116
XOR n1479 n1124 n1123
XOR n1351 n1352 n1131
XOR n1479 n1350 n1130
NAND n1351 n1715 n1132
NAND n1137 n1138 n1136
OR n1479 n1139 n1135
NAND n1474 n1453 n1141
NAND n1479 n1142 n1140
AND n1151 n1152 n1150
NAND n1716 n1115 n1114
AND n1116 n1117 n1113
OR n1353 n1481 n1119
AND n1385 N566 n1118
XOR n1353 n1123 n1122
XOR n1350 n1352 n1121
XOR n1130 n1131 n1129
AND n1309 n1132 n1128
AND n1135 n1136 n1134
AND n1140 n1141 n1133
XOR n1915 n1150 n1149
XOR n2280 n1714 n1148
XOR n1167 n2280 n1157
NAND n1113 n1114 n1112
AND n1118 n1119 n1111
XOR n1121 n1122 n1120
XOR n1128 n1129 n1127
AND n1133 n1134 n1126
XOR n1148 n1149 n1147
XOR n2274 n1714 n1156
XOR n2250 n1157 n1155
